param,value,alignment,model,clean_model
alpha_omega,0.300001,HA_greater_75,YNGKP_M5,M5
beta_omega,2.5706700000000002,HA_greater_75,YNGKP_M5,M5
kappa,4.03725,HA_greater_75,YNGKP_M5,M5
phi0A,0.346366,HA_greater_75,YNGKP_M5,M5
phi0C,0.144861,HA_greater_75,YNGKP_M5,M5
phi0G,0.263588,HA_greater_75,YNGKP_M5,M5
phi1A,0.360831,HA_greater_75,YNGKP_M5,M5
phi1C,0.17927300000000002,HA_greater_75,YNGKP_M5,M5
phi1G,0.21534699999999998,HA_greater_75,YNGKP_M5,M5
phi2A,0.340552,HA_greater_75,YNGKP_M5,M5
phi2C,0.230595,HA_greater_75,YNGKP_M5,M5
phi2G,0.191873,HA_greater_75,YNGKP_M5,M5
kappa,3.8878800000000004,HA_greater_75,YNGKP_M0,M0
omega,0.0952706,HA_greater_75,YNGKP_M0,M0
phi0A,0.346366,HA_greater_75,YNGKP_M0,M0
phi0C,0.144861,HA_greater_75,YNGKP_M0,M0
phi0G,0.263588,HA_greater_75,YNGKP_M0,M0
phi1A,0.360831,HA_greater_75,YNGKP_M0,M0
phi1C,0.17927300000000002,HA_greater_75,YNGKP_M0,M0
phi1G,0.21534699999999998,HA_greater_75,YNGKP_M0,M0
phi2A,0.340552,HA_greater_75,YNGKP_M0,M0
phi2C,0.230595,HA_greater_75,YNGKP_M0,M0
phi2G,0.191873,HA_greater_75,YNGKP_M0,M0
beta,2.5666700000000002,HA_greater_75,ExpCM,ExpCM
kappa,4.55837,HA_greater_75,ExpCM,ExpCM
omega,0.29520599999999997,HA_greater_75,ExpCM,ExpCM
phiA,0.374988,HA_greater_75,ExpCM,ExpCM
phiC,0.191934,HA_greater_75,ExpCM,ExpCM
phiG,0.218664,HA_greater_75,ExpCM,ExpCM
alpha_omega,0.986008,HA_greater_75,ExpCM_gammaomega,gammaomega
beta,2.54508,HA_greater_75,ExpCM_gammaomega,gammaomega
beta_omega,3.0956,HA_greater_75,ExpCM_gammaomega,gammaomega
kappa,4.69836,HA_greater_75,ExpCM_gammaomega,gammaomega
phiA,0.374824,HA_greater_75,ExpCM_gammaomega,gammaomega
phiC,0.1919,HA_greater_75,ExpCM_gammaomega,gammaomega
phiG,0.21878000000000003,HA_greater_75,ExpCM_gammaomega,gammaomega
alpha_omega,0.350775,HA_greater_60,YNGKP_M5,M5
beta_omega,4.4592,HA_greater_60,YNGKP_M5,M5
kappa,3.5669199999999996,HA_greater_60,YNGKP_M5,M5
phi0A,0.342856,HA_greater_60,YNGKP_M5,M5
phi0C,0.14895899999999998,HA_greater_60,YNGKP_M5,M5
phi0G,0.270942,HA_greater_60,YNGKP_M5,M5
phi1A,0.360254,HA_greater_60,YNGKP_M5,M5
phi1C,0.17836300000000002,HA_greater_60,YNGKP_M5,M5
phi1G,0.21270100000000003,HA_greater_60,YNGKP_M5,M5
phi2A,0.327289,HA_greater_60,YNGKP_M5,M5
phi2C,0.23467399999999997,HA_greater_60,YNGKP_M5,M5
phi2G,0.196776,HA_greater_60,YNGKP_M5,M5
kappa,3.1621799999999998,HA_greater_60,YNGKP_M0,M0
omega,0.0643535,HA_greater_60,YNGKP_M0,M0
phi0A,0.342856,HA_greater_60,YNGKP_M0,M0
phi0C,0.14895899999999998,HA_greater_60,YNGKP_M0,M0
phi0G,0.270942,HA_greater_60,YNGKP_M0,M0
phi1A,0.360254,HA_greater_60,YNGKP_M0,M0
phi1C,0.17836300000000002,HA_greater_60,YNGKP_M0,M0
phi1G,0.21270100000000003,HA_greater_60,YNGKP_M0,M0
phi2A,0.327289,HA_greater_60,YNGKP_M0,M0
phi2C,0.23467399999999997,HA_greater_60,YNGKP_M0,M0
phi2G,0.196776,HA_greater_60,YNGKP_M0,M0
beta,2.17053,HA_greater_60,ExpCM,ExpCM
kappa,3.9323099999999998,HA_greater_60,ExpCM,ExpCM
omega,0.177267,HA_greater_60,ExpCM,ExpCM
phiA,0.36330300000000004,HA_greater_60,ExpCM,ExpCM
phiC,0.194009,HA_greater_60,ExpCM,ExpCM
phiG,0.225289,HA_greater_60,ExpCM,ExpCM
alpha_omega,0.803871,HA_greater_60,ExpCM_gammaomega,gammaomega
beta,2.15502,HA_greater_60,ExpCM_gammaomega,gammaomega
beta_omega,4.1923900000000005,HA_greater_60,ExpCM_gammaomega,gammaomega
kappa,4.4132,HA_greater_60,ExpCM_gammaomega,gammaomega
phiA,0.363135,HA_greater_60,ExpCM_gammaomega,gammaomega
phiC,0.19397899999999998,HA_greater_60,ExpCM_gammaomega,gammaomega
phiG,0.22538000000000002,HA_greater_60,ExpCM_gammaomega,gammaomega
alpha_omega,0.6189560000000001,HA_greater_0,YNGKP_M5,M5
beta_omega,7.016560000000001,HA_greater_0,YNGKP_M5,M5
kappa,3.19863,HA_greater_0,YNGKP_M5,M5
phi0A,0.33707,HA_greater_0,YNGKP_M5,M5
phi0C,0.140284,HA_greater_0,YNGKP_M5,M5
phi0G,0.280219,HA_greater_0,YNGKP_M5,M5
phi1A,0.368659,HA_greater_0,YNGKP_M5,M5
phi1C,0.17887,HA_greater_0,YNGKP_M5,M5
phi1G,0.207269,HA_greater_0,YNGKP_M5,M5
phi2A,0.340229,HA_greater_0,YNGKP_M5,M5
phi2C,0.20615100000000003,HA_greater_0,YNGKP_M5,M5
phi2G,0.203281,HA_greater_0,YNGKP_M5,M5
kappa,2.8459,HA_greater_0,YNGKP_M0,M0
omega,0.0700544,HA_greater_0,YNGKP_M0,M0
phi0A,0.33707,HA_greater_0,YNGKP_M0,M0
phi0C,0.140284,HA_greater_0,YNGKP_M0,M0
phi0G,0.280219,HA_greater_0,YNGKP_M0,M0
phi1A,0.368659,HA_greater_0,YNGKP_M0,M0
phi1C,0.17887,HA_greater_0,YNGKP_M0,M0
phi1G,0.207269,HA_greater_0,YNGKP_M0,M0
phi2A,0.340229,HA_greater_0,YNGKP_M0,M0
phi2C,0.20615100000000003,HA_greater_0,YNGKP_M0,M0
phi2G,0.203281,HA_greater_0,YNGKP_M0,M0
beta,1.48138,HA_greater_0,ExpCM,ExpCM
kappa,3.3866099999999997,HA_greater_0,ExpCM,ExpCM
omega,0.126137,HA_greater_0,ExpCM,ExpCM
phiA,0.360063,HA_greater_0,ExpCM,ExpCM
phiC,0.178387,HA_greater_0,ExpCM,ExpCM
phiG,0.233906,HA_greater_0,ExpCM,ExpCM
alpha_omega,0.9626959999999999,HA_greater_0,ExpCM_gammaomega,gammaomega
beta,1.3357700000000001,HA_greater_0,ExpCM_gammaomega,gammaomega
beta_omega,7.4533,HA_greater_0,ExpCM_gammaomega,gammaomega
kappa,3.8153900000000003,HA_greater_0,ExpCM_gammaomega,gammaomega
phiA,0.35770100000000005,HA_greater_0,ExpCM_gammaomega,gammaomega
phiC,0.178294,HA_greater_0,ExpCM_gammaomega,gammaomega
phiG,0.23454299999999997,HA_greater_0,ExpCM_gammaomega,gammaomega
